Code Aéroport,Code Ville,Code Pays,Nom Ville,Latitude,Longitude,UTC Différence,Time_Zone
AAA,AAA,PF,Anaa,-17.3525,-145.51,-10:00,Pacific/Tahiti
AAB,AAB,AU,Arrabury,-26.6911,141.0472,+10:00,Australia/Brisbane
AAC,AAC,EG,El Arish International,31.0733,33.8358,+02:00,Africa/Cairo
AAD,AAD,SO,Adado,6.0961,46.6375,+03:00,Africa/Mogadishu
AAE,AAE,DZ,Annaba Rabah Bitat,36.8222,7.8092,+01:00,Africa/Algiers
AAF,AAF,US,Apalachicola,29.7333,-85.0333,-05:00,America/New_York
AAG,AAG,BR,Arapoti Avelino Vieira,-24.1036,-49.79,-03:00,America/Araguaina
AAH,AAH,DE,Aachen Merzbrueck,50.8231,6.1864,+01:00,Europe/Berlin
AAI,AAI,BR,Arraias,-12.9167,-46.9333,-03:00,America/Araguaina
AAJ,AAJ,SR,Awaradam Cajana,3.9,-55.3667,-03:00,America/Paramaribo
AAK,AAK,KI,Aranuka,0.1853,173.6369,+12:00,Pacific/Tarawa
AAL,AAL,DK,Aalborg,57.0928,9.8492,+01:00,Europe/Copenhagen
AAM,AAM,ZA,Mala Mala,-24.8181,31.5447,+02:00,Africa/Johannesburg
AAN,AAN,AE,Al Ain International,24.2617,55.6092,+04:00,Asia/Dubai
AAO,AAO,VE,Anaco,9.4167,-64.4667,-04:00,America/Caracas
AAP,SRI,ID,Houston Andrau Airpark,-0.3731,117.2508,+08:00,Asia/Makassar
AAQ,AAQ,RU,Anapa,45.0022,37.3472,+03:00,Europe/Moscow
AAR,AAR,DK,Aarhus Tirstrup,56.3039,10.6194,+01:00,Europe/Copenhagen
AAS,AAS,ID,Apalapsili,-3.9167,139.25,+09:00,Asia/Jayapura
AAT,AAT,CN,Altay,47.7506,88.0858,+08:00,Asia/Shanghai
AAU,AAU,WS,Asau,-13.4583,-172.6,+13:00,Pacific/Apia
AAV,AAV,PH,Surallah Allah Valley,6.3333,124.7667,+08:00,Asia/Manila
AAW,AAH,DE,Aachen Bus station,50.7825,6.0717,+01:00,Europe/Berlin
AAX,AAX,BR,Araxa,-19.5633,-46.9603,-03:00,America/Araguaina
AAY,AAY,YE,Al Ghaydah,16.1936,52.1731,+03:00,Asia/Aden
AAZ,AAZ,GT,Quetzaltenango,14.8639,-91.5203,-06:00,America/Guatemala
ABA,ABA,RU,Abakan,53.74,91.385,+07:00,Asia/Tomsk
ABB,ABB,NG,Asaba International,6.2031,6.6672,+01:00,Africa/Lagos
ABC,ABC,ES,Albacete Airport,38.9486,-1.8636,+01:00,Europe/Madrid
ABD,ABD,IR,Abadan,30.3711,48.2283,+03:30,Asia/Tehran
ABE,ABE,US,Allentown/Bethlehem,40.6522,-75.4408,-05:00,America/New_York
ABF,ABF,KI,Abaiang,1.3817,173.1475,+12:00,Pacific/Tarawa
ABG,ABG,AU,Abingdon Downs,-17.6667,143.2,+10:00,Australia/Brisbane
ABH,ABH,AU,Alpha,-23.7,146.5833,+10:00,Australia/Brisbane
ABI,ABI,US,Abilene,32.4114,-99.6819,-06:00,America/Chicago
ABJ,ABJ,CI,Abidjan,5.2614,-3.9264,+00:00,Africa/Abidjan
ABK,ABK,ET,Kabri Dar,6.7339,44.2553,+03:00,Africa/Addis_Ababa
ABL,ABL,US,Ambler,67.1072,-157.8533,-09:00,America/Anchorage
ABM,ABM,AU,Bamaga Northern Peninsula,-10.9508,142.4594,+10:00,Australia/Brisbane
ABN,ABN,SR,Albina,5.5167,-54.05,-03:00,America/Paramaribo
ABO,ABO,CI,Aboisso,5.4667,-3.2,+00:00,Africa/Abidjan
ABP,ABP,PG,Atkamba,-6.0667,141.1,+10:00,Pacific/Port_Moresby
ABQ,ABQ,US,Albuquerque,35.0406,-106.6094,-07:00,America/Denver
ABR,ABR,US,Aberdeen (US),45.4536,-98.4256,-06:00,America/Chicago
ABS,ABS,EG,Abu Simbel,22.3758,31.6117,+02:00,Africa/Cairo
ABT,ABT,SA,Al Baha Al-Aqiq,20.2961,41.6342,+03:00,Asia/Riyadh
ABU,ABU,ID,Atambua Haliwen,-9.075,124.9039,+08:00,Asia/Makassar
ABV,ABV,NG,Abuja,9.0067,7.2631,+01:00,Africa/Lagos
ABW,ABW,PG,Abau,-10.1667,148.7,+10:00,Pacific/Port_Moresby
ABX,ABX,AU,Albury,-36.0678,146.9581,+10:00,Australia/Sydney
ABY,ABY,US,Albany (US),31.5356,-84.1944,-05:00,America/New_York
ABZ,ABZ,GB,Aberdeen (GB),57.2042,-2.2003,+00:00,Europe/London
ACA,ACA,MX,Acapulco,16.7569,-99.7539,-06:00,America/Mexico_City
ACB,ACB,US,Bellaire Antrim County,44.9833,-85.2028,-05:00,America/New_York
ACC,ACC,GH,Accra,5.6053,-0.1667,+00:00,Africa/Accra
ACD,ACD,CO,Acandi,8.5167,-77.3,-05:00,America/Bogota
ACE,ACE,ES,Lanzarote,28.9456,-13.6053,+00:00,Atlantic/Canary
ACF,ACF,CN,Alaer Talimu,40.4494,81.2675,+08:00,Asia/Shanghai
ACH,ACH,CH,Altenrhein,47.485,9.5608,+01:00,Europe/Zurich
ACI,ACI,GB,Alderney,49.7069,-2.2156,+00:00,Europe/London
ACJ,ACJ,LK,Anuradhapura,8.3,80.4267,+05:30,Asia/Colombo
ACK,ACK,US,Nantucket,41.2531,-70.0603,-05:00,America/New_York
ACL,ACL,CO,Aguaclara,4.75,-73.0,-05:00,America/Bogota
ACM,ACM,CO,Arica,-2.1333,-71.7833,-05:00,America/Bogota
ACN,ACN,MX,Ciudad Acuna International,29.3331,-101.0992,-06:00,America/Matamoros
ACO,ACO,CH,Ascona,46.1594,8.7667,+01:00,Europe/Zurich
ACP,ACP,IR,Maragheh Sahand,37.3481,46.1331,+03:30,Asia/Tehran
ACQ,ALC,ES,Estacion De Alicante Bus Station,38.3375,-0.4917,+01:00,Europe/Madrid
ACR,ACR,CO,Araracuara,-0.6008,-72.3964,-05:00,America/Bogota
ACS,ACS,RU,Achinsk,56.2697,90.5719,+07:00,Asia/Tomsk
ACT,ACT,US,Waco,31.6114,-97.2306,-06:00,America/Chicago
ACU,ACU,PA,Achutupo,8.4333,-77.9667,-05:00,America/Panama
ACV,ACV,US,Arcata/Eureka,40.9781,-124.1086,-08:00,America/Los_Angeles
ACX,ACX,CN,Xingyi,25.0856,104.9594,+08:00,Asia/Shanghai
ACY,ACY,US,Atlantic City,39.4575,-74.5772,-05:00,America/New_York
ACZ,ACZ,IR,Zabol,31.0983,61.5439,+03:30,Asia/Tehran
ADA,ADA,TR,Adana,36.9822,35.2803,+03:00,Europe/Istanbul
ADB,IZM,TR,Izmir,38.2925,27.1569,+03:00,Europe/Istanbul
ADC,ADC,PG,Andakombe,-7.15,145.75,+10:00,Pacific/Port_Moresby
ADD,ADD,ET,Addis Ababa,8.9778,38.7994,+03:00,Africa/Addis_Ababa
ADE,ADE,YE,Aden International,12.8294,45.0289,+03:00,Asia/Aden
ADF,ADF,TR,Adiyaman,37.7314,38.4689,+03:00,Europe/Istanbul
ADG,ADG,US,Adrian Lenawee County,41.9,-84.0333,-05:00,America/New_York
ADH,ADH,RU,Aldan,58.6028,125.4067,+09:00,Asia/Yakutsk
ADI,ADI,NA,Arandis,-22.4,15.0,+02:00,Africa/Windhoek
ADJ,AMM,JO,Amman Marka Intl Airport,31.9728,35.9917,+03:00,Asia/Amman
ADK,ADK,US,Adak Island,51.8811,-176.6483,-10:00,America/Adak
ADL,ADL,AU,Adelaide,-34.945,138.5306,+09:30,Australia/Adelaide
ADM,ADM,US,Ardmore Municipal,34.3,-97.0167,-06:00,America/Chicago
ADN,ADN,CO,Andes,5.6667,-75.8833,-05:00,America/Bogota
ADO,ADO,AU,Andamooka,-30.4339,137.1372,+09:30,Australia/Adelaide
ADP,ADP,LK,Ampara Gal Oya,7.3375,81.6258,+05:30,Asia/Colombo
ADQ,ADQ,US,Kodiak,57.75,-152.4939,-09:00,America/Anchorage
ADR,ADR,US,Andrews Robert F. Swinnie,33.45,-79.5667,-05:00,America/New_York
ADS,DFW,US,Dallas Addison Apt,32.9703,-96.8372,-06:00,America/Chicago
ADT,ADT,US,Ada Municipal,34.8,-96.6667,-06:00,America/Chicago
ADU,ADU,IR,Ardabil,38.3256,48.4242,+03:30,Asia/Tehran
ADV,ADV,SD,Addeain,11.4022,26.1186,+02:00,Africa/Khartoum
ADW,ADW,US,Camp Springs Andrews,38.8089,-76.8708,-05:00,America/New_York
ADX,ADX,GB,St Andrews Raf Leuchars,56.3667,-2.8667,+00:00,Europe/London
ADX,ADX,GB,St Andrews Raf Leuchars,56.3667,-2.8667,+00:00,Europe/London
ADY,ADY,ZA,Alldays,-22.6667,29.1,+02:00,Africa/Johannesburg
ADZ,ADZ,CO,San Andres Island,12.5836,-81.7111,-05:00,America/Bogota
AEA,AEA,KI,Abemama Atoll,0.4906,173.83,+12:00,Pacific/Tarawa
AEB,AEB,CN,Baise Youjiang,23.72,106.9603,+08:00,Asia/Shanghai
AED,AED,US,Aleneva,58.0333,-152.9,-09:00,America/Anchorage
AEE,AEE,SS,Adareil,10.0611,32.9619,+02:00,Africa/Juba
AEG,AEG,ID,Aek Godang,1.4,99.43,+07:00,Asia/Pontianak
AEH,AEH,TD,Abeche,13.8475,20.8444,+01:00,Africa/Ndjamena
AEI,AEI,ES,Algeciras Rail Station,36.1267,-5.4492,+01:00,Europe/Madrid
AEJ,AEJ,KW,Ahmed Al Jaber,28.9333,47.7833,+03:00,Asia/Kuwait
AEK,AEK,PG,Aseki,-7.3667,146.2833,+10:00,Pacific/Port_Moresby
AEL,AEL,US,Albert Lea Municipal,43.6833,-93.3667,-06:00,America/Chicago
AEM,AEM,RU,Amgu,45.8425,137.6778,+10:00,Asia/Vladivostok
AEO,AEO,MR,Aioun El Atrouss,16.7,-9.65,+00:00,Africa/Nouakchott
AEP,BUE,AR,Buenos Aires Aeroparque J. N.,-34.5589,-58.4164,-03:00,America/Argentina/Buenos_Aires
AEQ,AEQ,CN,Chifeng Ar Horqin,43.9083,120.1503,+08:00,Asia/Shanghai
AER,AER,RU,Sochi,43.45,39.9567,+03:00,Europe/Moscow
AES,AES,NO,Aalesund,62.5603,6.1103,+01:00,Europe/Oslo
AET,AET,US,Allakaket,66.5506,-152.6319,-09:00,America/Anchorage
AEU,AEU,IR,Abu Musa Island,25.8756,55.0325,+03:30,Asia/Tehran
AEX,AEX,US,Alexandria,31.3275,-92.5497,-06:00,America/Chicago
AEY,AEY,IS,Akureyri,65.6586,-18.0722,+00:00,Atlantic/Reykjavik
AFA,AFA,AR,San Rafael,-34.5886,-68.4028,-03:00,America/Argentina/Buenos_Aires
AFD,AFD,ZA,Port Alfred,-33.5833,26.8833,+02:00,Africa/Johannesburg
AFF,COS,US,Colorado Springs Usaf Academy Airfield,39.0,-104.75,-07:00,America/Denver
AFI,AFI,CO,Amalfi,6.9167,-75.0667,-05:00,America/Bogota
AFK,ADP,LK,Ampara Kondavattavan Tank Spb,7.2919,81.6353,+05:30,Asia/Colombo
AFL,AFL,BR,Alta Floresta,-9.8661,-56.1061,-04:00,America/Porto_Velho
AFN,AFN,US,Jaffrey Silver Ranch,42.8056,-72.0033,-05:00,America/New_York
AFO,AFO,US,Afton Municipal,42.7167,-110.9333,-07:00,America/Denver
AFR,AFR,PG,Afore,-9.1333,148.3833,+10:00,Pacific/Port_Moresby
AFS,AFS,UZ,Zarafshan,41.6158,64.2331,+05:00,Asia/Tashkent
AFT,AFT,SB,Afutara,-9.1911,160.9492,+11:00,Pacific/Guadalcanal
AFU,AFU,QA,Al Udeid,25.1,51.3,+03:00,Asia/Qatar
AFW,FTW,US,Dallas/Fort Worth Alliance,32.9833,-97.3167,-06:00,America/Chicago
AFY,AFY,TR,Afyon,38.7333,30.6,+03:00,Europe/Istanbul
AFZ,AFZ,IR,Sabzevar,36.1686,57.5964,+03:30,Asia/Tehran
AGA,AGA,MA,Agadir,30.325,-9.4131,+01:00,Africa/Casablanca
AGB,MUC,DE,Augsburg,48.4253,10.9317,+01:00,Europe/Berlin
AGC,PIT,US,Pittsburgh Allegheny,40.3544,-79.9297,-05:00,America/New_York
AGD,AGD,ID,Anggi,-1.3833,133.8667,+09:00,Asia/Jayapura
AGE,AGE,DE,Wangerooge,53.7872,7.9158,+01:00,Europe/Berlin
AGF,AGF,FR,Agen La Garenne,44.1747,0.5906,+01:00,Europe/Paris
AGG,AGG,PG,Angoram,-4.0667,144.1,+10:00,Pacific/Port_Moresby
AGH,AGH,SE,Angelholm/Helsingborg Angelholm Apt,56.2961,12.8472,+01:00,Europe/Stockholm
AGI,AGI,SR,Wageningen,5.7667,-56.6833,-03:00,America/Paramaribo
AGJ,AGJ,JP,Aguni,26.5833,127.25,+09:00,Asia/Tokyo
AGK,AGK,PG,Kagua,-6.3333,143.8333,+10:00,Pacific/Port_Moresby
AGL,AGL,PG,Wanigela,-9.3333,149.15,+10:00,Pacific/Port_Moresby
AGM,AGM,GL,Tasiilaq Angmagssalik,65.6125,-37.6186,-03:00,America/Godthab
AGN,AGN,US,Angoon,57.495,-134.5672,-09:00,America/Anchorage
AGO,AGO,US,Magnolia Municipal,33.2333,-93.2167,-06:00,America/Chicago
AGP,AGP,ES,Malaga,36.675,-4.4992,+01:00,Europe/Madrid
AGQ,AGQ,GR,Agrinion G.Karaiskakis,38.6019,21.3511,+02:00,Europe/Athens
AGR,AGR,IN,Agra,27.1558,77.9608,+05:30,Asia/Kolkata
AGS,AGS,US,Augusta,33.37,-81.9644,-05:00,America/New_York
AGT,AGT,PY,Ciudad Del Este,-25.4556,-54.8436,-04:00,America/Asuncion
AGU,AGU,MX,Aguascalientes,21.7056,-102.3178,-06:00,America/Mexico_City
AGV,AGV,VE,Acarigua,9.55,-69.2333,-04:00,America/Caracas
AGW,AGW,AU,Agnew,-12.15,142.15,+10:00,Australia/Brisbane
AGX,AGX,IN,Agatti Island,10.8236,72.1761,+05:30,Asia/Kolkata
AGY,MUC,DE,Augsburg Central Station,48.3656,10.8864,+01:00,Europe/Berlin
AGZ,AGZ,ZA,Aggeneys,-29.2833,18.8167,+02:00,Africa/Johannesburg
AHA,OKA,JP,Okinawa Naha Afb,26.2,127.65,+09:00,Asia/Tokyo
AHB,AHB,SA,Abha,18.2403,42.6567,+03:00,Asia/Riyadh
AHC,AHC,US,Herlong Amedee Army Air Field,40.15,-120.1333,-08:00,America/Los_Angeles
AHD,ADM,US,Ardmore Downtown Executive Apt,34.1667,-97.1333,-06:00,America/Chicago
AHE,AHE,PF,Ahe,-14.4281,-146.2569,-10:00,Pacific/Tahiti
AHF,AHF,US,Arapahoe,40.3333,-99.9,-06:00,America/Chicago
AHH,AHH,US,Amery Municipal,45.2833,-92.3667,-06:00,America/Chicago
AHI,AHI,ID,Amahai,-3.3333,128.9167,+09:00,Asia/Jayapura
AHJ,AHJ,CN,Aba Hongyuan,32.5314,102.3519,+08:00,Asia/Shanghai
AHL,AHL,GY,Aishalton,2.4833,-59.3167,-04:00,America/Guyana
AHM,AHM,US,Ashland Municipal,42.1903,-122.6606,-08:00,America/Los_Angeles
AHN,AHN,US,Athens,33.9494,-83.3219,-05:00,America/New_York
AHO,AHO,IT,Alghero,40.6303,8.2897,+01:00,Europe/Rome
AHS,AHS,HN,Ahuas,15.4417,-84.425,-06:00,America/Tegucigalpa
AHT,AHT,US,Amchitka,51.5,179.0,-10:00,America/Adak
AHU,AHU,MA,Al Hoceima Cherif El Idrissi,35.1772,-3.8394,+01:00,Africa/Casablanca
AHW,AHW,OM,Saih Rawl,21.3428,56.7656,+04:00,Asia/Muscat
AHY,AHY,MG,Ambatolahy,-20.0167,45.5333,+03:00,Indian/Antananarivo
AHZ,AHZ,FR,L'alpe-D'huez,45.0883,6.0847,+01:00,Europe/Paris
AIA,AIA,US,Alliance,42.0519,-102.8078,-07:00,America/Denver
AIB,AIB,US,Anita Bay,56.2333,-132.3833,-09:00,America/Anchorage
AIC,AIC,MH,Airok,7.2794,168.8258,+12:00,Pacific/Majuro
AID,AID,US,Anderson Municipal,40.1,-85.6667,-05:00,America/New_York
AIE,AIE,PG,Aiome,-5.1333,144.7333,+10:00,Pacific/Port_Moresby
AIF,AIF,BR,Assis Marcelo P. Halzhausen,-22.6667,-50.4167,-03:00,America/Araguaina
AIG,AIG,CF,Yalinga,6.5167,23.25,+01:00,Africa/Bangui
AIH,AIH,PG,Aiambak,-7.3486,141.2667,+10:00,Pacific/Port_Moresby
AII,AII,DJ,Ali Sabieh,11.15,42.7167,+03:00,Africa/Djibouti
AIK,AIK,US,Aiken,33.6494,-81.6892,-05:00,America/New_York
AIL,AIL,PA,Ailigandi,9.2333,-78.0167,-05:00,America/Panama
AIM,AIM,MH,Ailuk Island,10.2169,169.9836,+12:00,Pacific/Majuro
AIN,AIN,US,Wainwright,70.6136,-159.8669,-09:00,America/Anchorage
AIO,AIO,US,Atlantic Municipal,41.4,-95.0167,-06:00,America/Chicago
AIP,AIP,IN,Adampur,31.4328,75.7589,+05:30,Asia/Kolkata
AIR,AIR,BR,Aripuana,-10.1911,-59.4569,-04:00,America/Porto_Velho
AIS,AIS,KI,Arorae,-2.6164,176.8025,+12:00,Pacific/Tarawa
AIT,AIT,CK,Aitutaki,-18.8311,-159.7647,-10:00,Pacific/Rarotonga
AIU,AIU,CK,Atiu Island,-19.9667,-158.125,-10:00,Pacific/Rarotonga
AIV,AIV,US,Aliceville George Downer,33.1,-88.2,-06:00,America/Chicago
AIW,AIW,NA,Ai-Ais,-27.9833,17.5833,+02:00,Africa/Windhoek
AIX,CMF,FR,Aix-En-Provence Daix Bus St,45.6883,5.9094,+01:00,Europe/Paris
AIY,ACY,US,Atlantic City Bader Field,39.3667,-74.45,-05:00,America/New_York
AIZ,AIZ,US,Kaiser/Lake Of The Ozarks Lee C Fine Me,38.1,-92.55,-06:00,America/Chicago
AJA,AJA,FR,Ajaccio,41.9239,8.8025,+01:00,Europe/Paris
AJF,AJF,SA,Al-Jouf,29.785,40.1,+03:00,Asia/Riyadh
AJI,AJI,TR,Agri,39.6539,43.0264,+03:00,Europe/Istanbul
AJJ,AJJ,MR,Akjoujt,19.7333,-14.3833,+00:00,Africa/Nouakchott
AJK,AJK,IR,Araak,34.1381,49.8469,+03:30,Asia/Tehran
