Registration_number,Flag,Latitude,Longitude,Altitude,Direction,Speed,Flight_number,Flight_icao,Flight_iata,Departure_icao,Departure_iata,Arrival_icao,Arrival_iata,Airline_icao,Airline_iata,Aircraft_icao,Updated,Status
RA-73735,RU,61.129845,65.686111,10668,97,890,1480,AFL1480,SU1480,UUEE,SVO,UNKL,KJA,AFL,SU,A20N,1688586650,en-route
RA-73761,RU,47.903778,45.655266,10965,153,870,1314,AFL1314,SU1314,UUEE,SVO,URMM,MRV,AFL,SU,A320,1688586760,en-route
RA-73825,RU,57.573433,62.754616,8077,70,822,299,SVR299,U6299,USSS,SVX,UHBB,BQS,SVR,U6,A320,1688586410,en-route
RA-73828,RU,60.024357,67.199005,10683,86,859,93,SVR93,U693,UUDD,DME,UIAA,HTA,SVR,U6,A320,1688586650,en-route
RA-73829,RU,58.475052,51.233414,11277,104,874,226,SVR226,U6226,ULLI,LED,USSS,SVX,SVR,U6,A320,1688586760,en-route
RA-73830,RU,55.05304,61.992458,9441,169,814,2955,SVR2955,U62955,USSS,SVX,UTDL,LBD,SVR,U6,A320,1688585833,en-route
I-ADJP,IT,47.393097,8.34034,11277,183,779,6CL,DLA6CL,EN8850,EDDF,FRA,LIMF,TRN,DLA,EN,E195,1688586760,en-route
EC-IJN,ES,40.490799,-3.590048,0,270,0,3034,IBE3034,IB3034,LEMD,MAD,LEBL,BCN,IBE,IB,A321,1688586761,landed
EC-ILR,ES,44.293762,-3.984048,11277,176,788,37RS,IBS37RS,IB3791,EIDW,DUB,LEMD,MAD,IBS,IB,A320,1688586759,en-route
EC-ILS,ES,39.594589,1.22826,10675,267,696,32RP,IBE32RP,IB3235,LIRF,FCO,LEMD,MAD,IBE,IB,A320,1688586758,en-route
EC-JFH,ES,40.494164,-3.560303,0,84,12,3742,IBS3742,IB3742,LEMD,MAD,LFPG,CDG,IBS,IB,A320,1688586760,en-route
EC-JFG,ES,40.700272,-3.575806,1592,179,414,3929,IBS3929,IB3929,GCTS,TFS,LEMD,MAD,IBS,IB,A320,1688586759,en-route
EC-JEI,ES,41.560455,1.903007,10660,253,698,33BW,IBE33BW,IB3335,LIRQ,FLR,LEMD,MAD,IBE,IB,A319,1688586760,en-route
