Pays,Ville,Longitude,Latitude,Température,Humidité,Visibilité,Vitesse_vent
US,Apalachicola,-84.9832,29.7258,28.9,93,10000,3.76
BR,Arraias,-46.9437,-12.9288,22.41,49,10000,3.41
DK,Aalborg,9.9187,57.048,16.96,77,10000,9.26
AR,Mala Mala,-65.5648,-26.7987,4.25,32,10000,2.35
VE,Anaco,-64.4728,9.4389,26.39,73,10000,1.34
RU,Anapa,37.3239,44.8908,23.55,55,10000,7.23
CN,Altay,88.1167,47.8667,22.02,32,10000,1.29
RO,Asău,26.4,46.4333,26.27,51,10000,3.05
BR,Araxá,-46.9406,-19.5933,17.45,45,10000,2.34
YE,Al Ghayzah,52.176,16.2079,33.79,56,10000,4.97
GT,Quetzaltenango,-91.5167,14.8333,11.32,94,10000,2.09
RU,Abakan,91.4292,53.7156,21.77,45,10000,1.22
IR,Ābādān,48.3043,30.3392,46.36,4,10000,9.89
US,Alpha,-75.1574,40.667,19.26,92,10000,0.45
US,Abilene,-99.7331,32.4487,29.33,41,10000,0.89
CI,Abidjan,-4.0197,5.3094,28.98,74,10000,5.66
US,Ambler,-75.2216,40.1545,19.68,95,8047,0.45
SR,Albina,-54.05,5.5,26.53,81,10000,2.23
CI,Aboisso,-3.2071,5.4678,27.08,64,10000,2.75
US,Albuquerque,-106.6511,35.0845,22.73,32,10000,4.12
EG,Abu Simbel,31.6162,22.3457,37.66,10,10000,7.05
NG,Abuja,7.4898,9.0574,29.08,72,10000,1.62
AU,Albury,146.9167,-36.0833,8.88,100,10000,1.34
MX,Acapulco de Juárez,-99.8901,16.8634,24.86,78,10000,3.46
GH,Accra,-0.1969,5.556,26.29,72,10000,5.96
CO,Acandí,-77.2778,8.5063,25.19,92,10000,1.03
CH,Altenrhein,9.5522,47.4904,22.16,66,10000,4.12
GB,Alderney,-2.1996,49.7136,17.94,82,10000,4.63
LK,Anuradhapura,80.4173,8.3565,29.77,60,10000,6.46
US,Nantucket,-70.0995,41.2835,19.03,98,8047,6.69
CO,Aguaclara,-72.9978,4.7489,22.49,90,10000,1.15
CL,Arica,-70.3042,-18.475,15.7,88,10000,0.85
CH,Ascona,8.7733,46.1545,32.21,47,10000,2.57
ES,Alicante,-0.4815,38.3452,30.59,51,10000,4.12
RU,Achinsk,90.4993,56.2694,19.37,62,10000,3.31
US,Waco,-97.1467,31.5493,25.07,88,10000,4.71
PA,Achutupo,-77.9833,9.2,25.28,87,10000,0.82
CN,Xingyi,102.817,24.1877,19.76,83,10000,2.49
US,Atlantic City,-74.4229,39.3643,21.15,87,10000,5.17
AF,Zabul Province,67.25,32.25,33.39,12,10000,10.39
TR,Adana Province,35.2881,36.985,31.01,62,10000,4.63
ET,Addis Ababa,38.7469,9.025,15.46,76,8241,1.87
TR,Adıyaman,38.25,37.75,35.79,14,10000,5.83
RU,Aldan,125.3894,58.6031,21.07,67,10000,1.48
NA,Arandis,14.9667,-22.4167,15.85,42,10000,4.3
JO,Amman,35.945,31.9552,30.05,26,7000,5.66
AU,Adelaide,138.6,-34.9333,9.68,81,10000,3.09
CO,Andes,-75.8788,5.6561,17.87,98,10000,0.73
US,Saint Paul Harbor,-152.4072,57.79,7.73,100,9656,6.69
IR,Ardabil,48.2933,38.2498,26.0,45,10000,6.44
ID,Aek Godang,98.5723,2.0872,19.39,95,10000,0.17
TD,Abéché,20.8324,13.8292,36.57,25,10000,2.59
RU,Sochi,39.7303,43.6,25.61,64,10000,2.64
NO,Ålesund,6.1549,62.4723,15.12,80,10000,7.72
EG,Alexandria,29.9553,31.2156,26.97,66,10000,5.71
IS,Akureyri,-18.0878,65.6835,17.1,43,10000,3.13
AR,San Rafael,-68.3301,-34.6177,7.72,56,10000,4.88
ZA,Port Alfred,26.891,-33.5906,16.21,83,10000,4.47
US,Colorado Springs,-104.8214,38.8339,18.85,44,10000,0.45
CO,Amalfi,-75.0776,6.9102,15.49,97,10000,0.98
BR,Alta Floresta,-56.0861,-9.8756,23.76,54,10000,2.24
UZ,Zarafshan,64.2075,41.5792,34.36,18,10000,7.68
TR,Afyonkarahisar,30.5433,38.7567,25.48,39,10000,1.37
IR,Sabzawār,57.6819,36.2126,35.91,10,10000,1.09
MA,Agadir,-9.5982,30.4202,32.64,44,10000,3.2
DE,Munich,11.5755,48.1374,22.22,45,10000,0.89
US,Pittsburgh,-79.9959,40.4406,17.96,98,10000,0.89
DE,Wangerooge,7.9,53.8,20.11,73,10000,8.83
PG,Angoram,144.0661,-4.0625,24.09,93,10000,0.2
