City,Description jour,Timezone,Latitude,Longitude,Date,Current time,Max_Température,Min_Température,Current temperature,Humidité,Precipitation,Neige,Neige_densité,Vent_rafale,Vent_vitesse,Vent_direction,Pression,Nuage,Visibilité,Solar radiation,Energy_solaire,Soleil_coucher,Alert risk,Description,Weather conditions,Weather alerts,Alertes_description,Vitesse_vent
"Arrabury Rd, Durham QLD 4481, Australia",Similar temperatures continuing with no rain expected.,Australia/Brisbane,-26.84124,141.10708,2023-07-07,07:00:00,17.7,10.2,10.2,43.2,0.0,0.0,0.0,40.0,18.0,226.1,1021.5,0.0,,176.9,15.3,17:55:58,10.0,Clear conditions throughout the day.,Clear,,,18.0
"عدادو, عذاذو, جلجدود, الصومال",Similar temperatures continuing with no rain expected.,Africa/Mogadishu,6.14462,46.62496,2023-07-07,00:00:00,33.6,22.8,27.0,48.9,0.1,0.0,0.0,63.0,45.4,213.9,1012.8,57.6,,219.2,19.0,18:12:20,10.0,Partly cloudy throughout the day.,Partially cloudy,,,45.4
"Apalachicola, FL, United States",Similar temperatures continuing with a chance of rain multiple days.,America/New_York,29.7255,-84.987,2023-07-06,17:10:00,33.3,24.4,31.9,76.7,2.097,0.0,0.0,20.5,29.5,273.6,1015.6,11.2,,289.5,25.1,20:44:09,75.0,Clear conditions throughout the day with strong storms possible.,Rain,,,29.5
"Avenida Avelino Vieira, Arapoti - PR, 84990-000, Brasil",Similar temperatures continuing with a chance of rain Wednesday & Thursday.,America/Sao_Paulo,-24.14344,-49.82284,2023-07-06,18:00:00,19.8,9.9,13.8,73.1,0.0,0.0,0.0,16.2,11.5,2.3,1019.0,1.7,,184.3,16.0,17:45:01,10.0,Clear conditions throughout the day.,Clear,,,11.5
"Merzbrück, 52146 Würselen, Deutschland",Similar temperatures continuing with a chance of rain multiple days.,Europe/Berlin,50.82387,6.19842,2023-07-06,23:07:00,22.1,10.7,16.6,67.2,0.0,0.0,0.0,34.9,16.6,239.3,1017.7,32.8,,276.3,23.7,21:49:55,10.0,Partly cloudy throughout the day.,Partially cloudy,,,16.6
"Arraias, TO, Brasil",Similar temperatures continuing with no rain expected.,America/Araguaina,-12.9303,-46.93791,2023-07-06,18:00:00,30.4,13.6,23.2,39.4,0.0,0.0,0.0,21.6,11.5,131.3,1016.7,25.2,,234.3,20.3,17:54:18,10.0,Partly cloudy throughout the day.,Partially cloudy,,,11.5
"Arandka, Ferozepur Jhirka, HR, India",Similar temperatures continuing with a chance of rain multiple days.,Asia/Kolkata,27.96734,76.94333,2023-07-07,02:40:02,36.5,27.2,29.6,65.2,2.8,0.0,0.0,36.4,31.0,89.9,1000.7,83.6,,160.8,13.7,19:22:21,30.0,Partly cloudy throughout the day with storms possible.,"Rain, Partially cloudy",,,31.0
"Aalborg, Nordjylland, Danmark",Similar temperatures continuing with a chance of rain Tuesday & Wednesday.,Europe/Copenhagen,57.0494,9.9163,2023-07-06,23:10:00,18.0,13.0,13.9,83.3,2.6,0.0,0.0,54.0,42.5,261.5,1007.6,81.8,,178.5,15.3,22:14:13,10.0,Partly cloudy throughout the day with a chance of rain throughout the day.,"Rain, Partially cloudy",,,42.5
"Malå, Västerbottens län, Sverige",Similar temperatures continuing with a chance of rain tomorrow & Saturday.,Europe/Stockholm,65.19141,18.72574,2023-07-06,22:50:00,19.6,6.9,15.0,66.7,0.0,0.0,0.0,25.9,18.0,140.9,1012.0,48.2,,246.1,21.2,23:30:04,10.0,Partly cloudy throughout the day.,Partially cloudy,,,18.0
"المدينة الصناعية, العين, الإمارات العربية المتحدة",Similar temperatures continuing with no rain expected.,Asia/Dubai,24.06337,55.63345,2023-07-07,01:00:00,46.6,33.8,35.0,23.2,0.0,0.0,0.0,34.2,29.5,134.1,998.0,77.4,,321.7,27.9,19:09:12,10.0,Partly cloudy throughout the day.,Partially cloudy,,,29.5
"Anaco, Anzoátegui, República Bolivariana De Venezuela",Similar temperatures continuing with a chance of rain multiple days.,America/Caracas,9.42715,-64.4757,2023-07-06,17:00:00,34.3,23.4,33.0,58.5,0.0,0.0,0.0,44.6,37.1,81.2,1012.5,51.0,,309.4,26.8,18:42:17,10.0,Partly cloudy throughout the day.,Partially cloudy,,,37.1
"Анапа, Южный федеральный округ, Россия",Similar temperatures continuing with a chance of rain multiple days.,Europe/Moscow,44.9303,37.3227,2023-07-07,00:00:00,30.8,24.9,24.0,53.9,0.0,0.0,0.0,36.7,20.2,138.1,1006.5,24.6,,326.3,28.3,20:19:12,30.0,Partly cloudy throughout the day with storms possible.,"Rain, Partially cloudy",,,20.2
"Tirstrupvej, 8240 Aarhus, Danmark",Similar temperatures continuing with a chance of rain Tuesday & Wednesday.,Europe/Copenhagen,56.1976,10.2339,2023-07-06,23:00:00,18.7,12.8,13.3,75.3,2.0,0.0,0.0,56.9,27.7,248.1,1009.7,74.7,,195.6,16.9,22:06:29,10.0,Partly cloudy throughout the day with a chance of rain throughout the day.,"Rain, Partially cloudy",,,27.7
"Altay, Ankara, Türkiye",Similar temperatures continuing with no rain expected.,Europe/Istanbul,39.969,32.6488,2023-07-07,23:50:00,32.3,20.1,24.9,44.3,0.2,0.0,0.0,34.2,19.8,337.0,1009.3,49.8,,344.0,29.8,20:20:53,10.0,Partly cloudy throughout the day.,Partially cloudy,,,19.8
"Allah Valley Dr, 9512 Surallah, Philippines",Similar temperatures continuing with a chance of rain multiple days.,Asia/Manila,6.38005,124.7508,2023-07-07,05:00:00,33.1,22.7,22.7,80.9,3.1,0.0,0.0,6.5,5.8,356.9,1010.5,47.3,,285.6,24.6,18:00:12,60.0,Partly cloudy throughout the day with storms possible.,"Rain, Partially cloudy",,,5.8
"Araxá, MG, Brasil",Similar temperatures continuing with no rain expected.,America/Sao_Paulo,-19.5941,-46.9409,2023-07-06,18:00:00,24.0,8.8,19.0,57.6,0.0,0.0,0.0,20.5,20.5,85.4,1020.8,10.5,,206.7,17.8,17:42:17,10.0,Clear conditions throughout the day.,Clear,,,20.5
"الغيضة, اليمن",Similar temperatures continuing with no rain expected.,Asia/Aden,16.52125,52.70948,2023-07-07,00:00:00,27.0,24.6,25.7,88.9,0.7,0.0,0.0,30.6,29.5,92.1,1002.5,90.9,,192.7,16.6,18:06:13,15.0,Cloudy skies throughout the day.,Overcast,,,29.5
