Ville,Description jour,Timezone,Latitude,Longitude,Date,Heure_locale,Max_Température,Min_Température,Température_actuelle,Humidité,Precipitation,Neige,Neige_densité,Vent_rafale,Vent_vitesse,Vent_direction,Pression,Nuage,Visibilité,Radiation_solaire,Energy_solaire,Soleil_coucher,Alerte_risk,Description_detailed,Conditions_météo,Alertes_météo,Alertes_description,Vitesse_vent
"Chicago, IL, United States",Similar temperatures continuing with a chance of rain multiple days.,America/Chicago,41.8843,-87.6324,2023-06-29,09:29:00,26.0,22.3,26.4,74.4,10.55,0.0,0.0,31.7,16.4,175.4,1010.1,63.6,,162.5,13.9,20:29:45,30.0,Partly cloudy throughout the day with storms possible.,"Rain, Partially cloudy",Air Quality Alert,"...AIR QUALITY ALERT IN EFFECT UNTIL MIDNIGHT CDT TONIGHT...
The Illinois Environmental Protection Agency has determined that an
Air Pollution Action Day is in effect until midnight CDT tonight.
An air pollution action day is declared when weather conditions are
such that widespread ozone and or particulate levels are expected to
be at or above the unhealthy for sensitive groups category of the
air quality index.
Active children and adults especially people with pulmonary or
respiratory disease such as asthma should limit prolonged outdoor
activity.
Area residents are urged to reduce pollution levels. Air quality
forecasts and tips on how you can reduce your emissions can be found
at www.airnow.gov.
Illinois Environmental Protection Agency media contact: 217 558
1536.",16.4
"Newark, NY, United States","Similar temperatures continuing with a chance of rain Saturday, Sunday & Monday.",America/New_York,43.0464,-77.0952,2023-06-29,10:26:00,26.7,14.2,21.6,71.2,0.059,0.0,0.0,16.6,12.3,285.6,1016.4,47.6,,305.3,26.4,20:51:44,10.0,Partly cloudy throughout the day with early morning rain.,"Rain, Partially cloudy",Air Quality Alert,"...AIR QUALITY ALERT IN EFFECT UNTIL MIDNIGHT EDT THURSDAY NIGHT...
The New York State Department of Environmental Conservation at
Albany has issued an Air Quality Health Advisory for Fine
Particulates until midnight EDT Thursday night.
Air quality levels in outdoor air are predicted to be greater than
an Air Quality Index value of 155 for Fine Particulates today and 160
for Fine Particulates Thursday. The Air Quality Index...or AQI...was
created as an easy way to correlate levels of different pollutants
to one scale. The higher the AQI value...the greater the health
concern.
When pollution levels are elevated...the New York State Department
of Health recommends that individuals consider limiting strenuous
outdoor physical activity to reduce the risk of adverse health
effects. People who may be especially sensitive to the effects of
elevated levels of pollutants include the very young and those with
pre-existing respiratory problems such as asthma or heart disease.
Those with symptoms should consider consulting their personal
physician.
For additional information, please visit the New York State
Department of Environmental Conservation website at,
https://on.ny.gov/nyaqi, or call the Air Quality Hotline at
1 800 5 3 5, 1 3 4 5.",12.3
"Genève, GE, Suisse",Similar temperatures continuing with a chance of rain multiple days.,Europe/Zurich,46.2083,6.14275,2023-06-29,16:20:00,30.0,15.0,30.0,60.0,2.3,0.0,0.0,36.0,14.7,227.0,1015.9,54.6,,243.7,21.2,21:31:05,30.0,Partly cloudy throughout the day with storms possible.,"Rain, Partially cloudy",Yellow Rain Warning,"- Possible impacts: Rising water level of streams in areas where the ground is already saturated. Localised flooding in areas where the ground is already saturated, e.g. in underpasses, underground garages and cellars
- Recommendations for action: Stay away from watercourses and steep slopes. Keep out of cellars and basements when there is a danger of flooding (see procedures for flooding)
- Expected amounts: 20 - 50 mm
- Snowfall limit: 3000 m",14.7
"San Francisco, CA, United States",Similar temperatures continuing with no rain expected.,America/Los_Angeles,37.7771,-122.42,2023-06-29,07:25:00,18.4,12.4,11.7,81.7,0.0,0.0,0.0,18.4,14.8,244.7,1013.2,46.2,,347.0,30.0,20:35:41,10.0,Clearing in the afternoon.,Partially cloudy,,,14.8
"Miami, FL, United States",Similar temperatures continuing with a chance of rain multiple days.,America/New_York,25.7748,-80.1977,2023-06-29,10:30:00,31.3,27.1,30.3,77.0,19.128,0.0,0.0,24.1,18.4,191.3,1014.3,59.8,,267.8,23.0,20:16:13,60.0,Partly cloudy throughout the day with storms possible.,"Rain, Partially cloudy",,,18.4
"Montréal, QC, Canada",Similar temperatures continuing with a chance of rain multiple days.,America/Toronto,45.5124,-73.5547,2023-06-29,10:00:00,24.9,16.8,18.9,81.9,5.0,0.0,0.0,23.0,11.5,218.5,1013.8,69.3,,150.4,13.0,20:47:00,10.0,Partly cloudy throughout the day with rain clearing later.,"Rain, Partially cloudy",,,11.5
"Guarulhos, SP, Brasil",Similar temperatures continuing with no rain expected.,America/Sao_Paulo,-23.4435,-46.5077,2023-06-29,11:00:00,21.1,12.1,20.0,80.6,0.3,0.0,0.0,25.6,18.7,144.3,1023.8,44.3,,138.4,12.0,17:30:42,10.0,Clearing in the afternoon with late afternoon rain.,"Rain, Partially cloudy",,,18.7
"Delhi, DL, India","Similar temperatures continuing with a chance of rain tomorrow, Saturday & Thursday.",Asia/Kolkata,28.6341,77.2169,2023-06-29,19:59:39,32.0,25.0,31.2,84.4,1.9,0.0,0.0,33.5,21.2,58.9,1001.6,68.3,,183.7,15.8,19:23:02,30.0,Partly cloudy throughout the day with storms possible.,"Rain, Partially cloudy",,,21.2
Singapore,Similar temperatures continuing with a chance of rain multiple days.,Asia/Singapore,1.29088,103.852,2023-06-29,22:30:00,31.9,26.8,28.7,78.8,6.2,0.0,,24.5,22.7,159.1,1009.7,79.7,,272.5,23.5,19:13:52,30.0,Partly cloudy throughout the day with storms possible.,"Rain, Partially cloudy",,,22.7
"กรุงเทพมหานคร, ประเทศไทย","Similar temperatures continuing with a chance of rain tomorrow, Tuesday & Thursday.",Asia/Bangkok,13.7534,100.505,2023-06-29,21:17:19,35.8,27.0,28.0,65.7,0.2,0.0,0.0,24.5,21.7,192.0,1006.6,37.5,,192.7,16.5,18:49:17,30.0,Partly cloudy throughout the day with storms possible.,"Rain, Partially cloudy",,,21.7
