Compagnie,Numéro de vol,Lieu de départ IATA,Lieu d'arrivée IATA,Aircraft Code IATA,Opérationnel,Date départ UTC,Date départ LT,Date arrivée UTC,Date arrivée LT,Heure départ (en min UTC),Heure départ (en min LT),Heure arrivée (en min UTC),Heure arrivée (en min LT)
LX,6,ZRH,ORD,333,True,19JUN23,19JUN23,19JUN23,19JUN23,465,585,1055,755
LX,7,ORD,ZRH,333,True,19JUN23,19JUN23,19JUN23,19JUN23,1180,880,255,375
LX,8,ZRH,ORD,77W,True,19JUN23,19JUN23,19JUN23,19JUN23,680,800,1265,965
LX,9,ORD,ZRH,77W,True,19JUN23,18JUN23,19JUN23,18JUN23,10,1150,525,645
LX,14,ZRH,JFK,333,True,19JUN23,19JUN23,19JUN23,19JUN23,675,795,1215,975
LX,15,JFK,ZRH,333,True,19JUN23,18JUN23,19JUN23,18JUN23,55,1255,530,650
LX,16,ZRH,JFK,333,True,19JUN23,19JUN23,19JUN23,19JUN23,480,600,1005,765
LX,17,JFK,ZRH,333,True,19JUN23,19JUN23,19JUN23,19JUN23,1230,990,255,375
LX,18,ZRH,EWR,343,True,19JUN23,19JUN23,19JUN23,19JUN23,920,1040,10,1210
LX,19,EWR,ZRH,343,True,19JUN23,18JUN23,19JUN23,18JUN23,110,1310,575,695
LX,22,GVA,JFK,333,True,19JUN23,19JUN23,19JUN23,19JUN23,590,710,1105,865
LX,23,JFK,GVA,333,True,19JUN23,19JUN23,19JUN23,19JUN23,1405,1165,435,555
LX,38,ZRH,SFO,77W,True,19JUN23,19JUN23,19JUN23,19JUN23,670,790,1380,960
LX,39,SFO,ZRH,77W,True,19JUN23,18JUN23,19JUN23,18JUN23,170,1190,820,940
LX,40,ZRH,LAX,77W,True,19JUN23,19JUN23,19JUN23,19JUN23,670,790,1410,990
LX,41,LAX,ZRH,77W,True,19JUN23,18JUN23,19JUN23,18JUN23,145,1165,825,945
LX,52,ZRH,BOS,333,True,19JUN23,19JUN23,19JUN23,19JUN23,940,1060,5,1205
LX,53,BOS,ZRH,333,True,19JUN23,18JUN23,19JUN23,18JUN23,110,1310,545,665
LX,54,ZRH,BOS,333,True,19JUN23,19JUN23,19JUN23,19JUN23,655,775,1160,920
LX,55,BOS,ZRH,333,True,19JUN23,19JUN23,19JUN23,19JUN23,1270,1030,260,380
