Registration_number,Flag,Latitude,Longitude,Altitude,Direction,Speed,Flight_number,Flight_icao,Flight_iata,Departure_icao,Departure_iata,Arrival_icao,Arrival_iata,Airline_icao,Airline_iata,Aircraft_icao,Updated,Status
RA-73730,RU,57.576828,50.36768,10668,86,855,1568,AFL1568,SU1568,UUEE,SVO,USTR,TJM,AFL,SU,A20N,1687905485,en-route
RA-73733,RU,56.261021,75.113235,9448,104,783,1458,AFL1458,SU1458,UUEE,SVO,UNWW,NOZ,AFL,SU,A20N,1687905416,en-route
RA-73734,RU,57.932785,60.681301,11285,94,857,1530,AFL1530,SU1530,UUEE,SVO,UNTT,TOF,AFL,SU,A20N,1687904534,en-route
RA-73735,RU,59.635559,57.301373,10660,84,838,1484,AFL1484,SU1484,UUEE,SVO,UNKL,KJA,AFL,SU,A20N,1687905476,en-route
RA-73747,RU,56.070961,46.189014,10668,92,859,1638,AFL1638,SU1638,UUEE,SVO,UNOO,OMS,AFL,SU,A320,1687905484,en-route
RA-73765,RU,45.924061,48.70768,10363,162,829,1054,AFL1054,SU1054,UUEE,SVO,URML,MCX,AFL,SU,A320,1687905480,en-route
RA-73766,RU,61.204865,72.793427,10668,96,827,1646,AFL1646,SU1646,UUEE,SVO,USNN,NJC,AFL,SU,A320,1687905416,en-route
RA-73781,RU,52.284313,56.801281,10675,25,851,2816,AFL2816,SU2816,URMM,MRV,USSS,SVX,AFL,SU,A320,1687905416,en-route
RA-73797,RU,39.704681,66.95713,10325,144,951,2441,SVR2441,U62441,UUBW,ZIA,UTDD,DYU,SVR,U6,A321,1687905465,en-route
RA-73798,RU,56.358398,61.632553,10675,93,859,387,SVR387,U6387,UUDD,DME,UNOO,OMS,SVR,U6,A321,1687905153,en-route
RA-73801,RU,48.774269,44.355782,10058,346,500,28,SVR28,U628,URSS,AER,ULLI,LED,SVR,U6,A21N,1687904424,en-route
RA-73815,RU,56.794476,86.596718,11285,109,840,624,SVR624,U6624,USSS,SVX,UIAA,HTA,SVR,U6,A319,1687904838,en-route
RA-73827,RU,49.910004,82.134979,11277,40,916,2806,SVR2806,U62806,UAFO,OSS,UNKL,KJA,SVR,U6,A320,1687905484,en-route
RA-73843,RU,57.193897,67.836418,10668,98,851,100,SVR100,U6100,UUDD,DME,UNNT,OVB,SVR,U6,A321,1687905416,en-route
EC-ILR,ES,39.313969,-6.413147,10668,232,866,3836,IBS3836,IB3836,LEMD,MAD,GCLP,LPA,IBS,IB,A320,1687905487,en-route
EC-JFG,ES,39.584812,-6.301758,10660,243,883,3908,IBS3908,IB3908,LEMD,MAD,GCTS,TFS,IBS,IB,A320,1687905485,en-route
EC-JEJ,ES,27.941277,-15.386154,0,329,14,3834,IBS3834,IB3834,LEMD,MAD,GCLP,LPA,IBS,IB,A321,1687905481,en-route
EC-KHN,ES,36.773529,-4.637375,807,131,337,8PU,VLG8PU,VY3151,LEPA,PMI,LEMG,AGP,VLG,VY,A320,1687905481,en-route
EC-KOH,ES,40.248974,-3.204387,1828,291,459,3313,IBE3313,IB3313,ESSA,ARN,LEMD,MAD,IBE,IB,A320,1687905487,en-route
